disasterNo,year,seq,group,subgroup_id,type_id,subtype,eventName,country,iso,region_id,continent_id,location,startYear,startMonth,startDay,endYear,endMonth,endDay,totalDeaths,injured,Affected,homeless,totalAffected,damageCost
1970-0013-ARG,1970,13,Natural,Hydrological,Flood,,,Argentina,ARG,SouthAmerica,Americas,Mendoza,1970,1,4,1970,1,4,36,,,,,25000
1970-0109-AUS,1970,109,Natural,Meteorological,Storm,Tropical cyclone,Ada,Australia,AUS,AustraliaandNewZealand,Oceania,Queensland,1970,1,,1970,1,,13,,,,,72475
1970-0063-BGD,1970,63,Natural,Meteorological,Storm,Tropical cyclone,,Bangladesh,BGD,SouthernAsia,Asia,"Khulna, Chittagong",1970,11,12,1970,11,12,300000,,3648000,,3648000,86400
1970-0037-BRA,1970,37,Natural,Hydrological,Flood,,,Brazil,BRA,SouthAmerica,Americas,"Recife, South Pernambuco",1970,7,21,1970,7,21,172,,104371,,104371,46000
1970-0054-BRB,1970,54,Natural,Hydrological,Flood,,,Barbados,BRB,Caribbean,Americas,Entire Isl.,1970,10,2,1970,10,2,3,10,200,,210,500
1970-0061-COL,1970,61,Natural,Hydrological,Flood,,,Colombia,COL,SouthAmerica,Americas,"Magdalena, Cauca Vals",1970,11,,1970,11,,307,,5000000,105000,5105000,138800
1970-0025-CRI,1970,25,Natural,Hydrological,Flood,,,Costa Rica,CRI,CentralAmerica,Americas,"Limao, Cartago provinces",1970,4,9,1970,4,9,23,40,10000,,10040,6000
1970-0066-CRI,1970,66,Natural,Hydrological,Flood,,,Costa Rica,CRI,CentralAmerica,Americas,Estrella Valley,1970,12,4,1970,12,4,1,,5200,,5200,24000
1970-0067-ECU,1970,67,Natural,Geophysical,Earthquake,Ground movement,,Ecuador,ECU,SouthAmerica,Americas,Loja province,1970,12,9,1970,12,9,29,120,60000,27992,88112,4000
1970-0023-ECU,1970,23,Natural,Hydrological,Flood,,,Ecuador,ECU,SouthAmerica,Americas,"Guayas, Emeral, Manabi",1970,4,8,1970,4,8,20,,140500,,140500,500
1970-0028-HUN,1970,28,Natural,Hydrological,Flood,,,Hungary,HUN,EasternEurope,Europe,Tisza,1970,5,1,1970,6,30,300,,,,,85000
1971-0042-CHL,1971,42,Natural,Geophysical,Earthquake,Ground movement,,Chile,CHL,SouthAmerica,Americas,"Valparaiso, Salamnca, Coquimbo",1971,7,9,1971,7,9,85,451,2348522,,2348973,236400
1971-0015-AUS,1971,15,Natural,Hydrological,Flood,Riverine flood,,Australia,AUS,AustraliaandNewZealand,Oceania,"South Wales, Queensland, Victoria",1971,2,9,1971,2,9,27,,,,,20000
1971-0096-AUS,1971,96,Natural,Meteorological,Storm,Tropical cyclone,Althea,Australia,AUS,AustraliaandNewZealand,Oceania,Townsville area (Queensland),1971,12,24,1971,12,24,3,,,,,119219
1971-0027-BRA,1971,27,Natural,Hydrological,Flood,,,Brazil,BRA,SouthAmerica,Americas,Salvador,1971,4,26,1971,4,26,109,2000,11000,,13000,5200
1971-0010-ESP,1971,10,Natural,Meteorological,Extreme temperature ,Cold wave,,Spain,ESP,SouthernEurope,Europe,,1971,1,,1971,1,,400,,,,,100000
1971-0058-IND,1971,58,Natural,Meteorological,Storm,Tropical cyclone,,India,IND,SouthernAsia,Asia,"East coast, Orissa state",1971,10,27,1971,10,27,9658,,4900000,2000000,6900000,30000
1972-0061-DFR,1972,61,Natural,Meteorological,Storm,,,Germany Fed Rep,DFR,WesternEurope,Europe,Lower Saxony,1972,11,12,1972,11,12,54,,,,,420000
1972-0059-FJI,1972,59,Natural,Meteorological,Storm,Tropical cyclone,Bebe,Fiji,FJI,Melanesia,Oceania,Much of nation,1972,10,24,1972,10,24,3,,120000,,120000,22500
1972-0033-HTI,1972,33,Natural,Hydrological,Flood,,,Haiti,HTI,Caribbean,Americas,Les Cayes region,1972,5,20,1972,5,20,78,,40000,,40000,959
1973-9005-ETH,1973,9005,Natural,Climatological,Drought,Drought,,Ethiopia,ETH,EasternAfrica,Africa,"Tigre, Wollo, North Shoa, Tigray, Kangra provinces",1973,12,,1978,,,100000,,3000000,,3000000,76000
1973-0051-AUS,1973,51,Natural,Hydrological,Flood,,,Australia,AUS,AustraliaandNewZealand,Oceania,"Queensland, New South Wales",1973,12,,1973,12,,12,,11000,1000,12000,71000
1973-0019-BRA,1973,19,Natural,Hydrological,Flood,,,Brazil,BRA,SouthAmerica,Americas,"East, Central, along Cartinga",1973,3,26,1973,3,26,20,,,,,16000
1973-0024-CRI,1973,24,Natural,Geophysical,Earthquake,Ground movement,,Costa Rica,CRI,CentralAmerica,Americas,"South Laguna Arenal, Tilaran, Arenal, Rio Chiquito",1973,4,14,1973,4,14,21,98,3563,84,3745,200
1973-0016-DZA,1973,16,Natural,Hydrological,Flood,,,Algeria,DZA,NorthernAfrica,Africa,"Northeast, Tlemcen",1973,3,,1973,3,,21,,85000,61000,146000,10000
1973-0046-ESP,1973,46,Natural,Hydrological,Flood,Flash flood,,Spain,ESP,SouthernEurope,Europe,"Granada, Almeria, Murcia",1973,10,19,1973,10,19,500,,,,,400000
1973-0027-GTM,1973,27,Natural,Hydrological,Flood,,,Guatemala,GTM,CentralAmerica,Americas,"South West coast, Pantaleon R.",1973,6,,1973,6,,5,,1000,,1000,2500
1974-0061-AUS,1974,61,Natural,Meteorological,Storm,Tropical cyclone,Tracy,Australia,AUS,AustraliaandNewZealand,Oceania,Darwin,1974,12,25,1974,12,25,65,640,45000,,45640,800000
1974-0091-AUS,1974,91,Natural,Meteorological,Storm,Tropical cyclone,Wanda,Australia,AUS,AustraliaandNewZealand,Oceania,Brisbane (Queensland),1974,1,,1974,1,,11,,,,,296717
1974-0096-AUS,1974,96,Natural,Hydrological,Flood,,,Australia,AUS,AustraliaandNewZealand,Oceania,Brisbane,1974,1,,1974,1,,14,,,,,5972
1974-0034-BGD,1974,34,Natural,Hydrological,Flood,,,Bangladesh,BGD,SouthernAsia,Asia,,1974,7,,1974,7,,28700,,36000000,2000000,38000000,579200
1974-0010-BOL,1974,10,Natural,Hydrological,Flood,,,Bolivia (Plurinational State of),BOL,SouthAmerica,Americas,"Beni, La Paz, Oruro",1974,2,,1974,2,,31,,18000,,18000,10500
1974-0015-BRA,1974,15,Natural,Hydrological,Flood,,,Brazil,BRA,SouthAmerica,Americas,Most of the country,1974,3,,1974,3,,205,,325000,,325000,121000
1974-0027-CHL,1974,27,Natural,Hydrological,Flood,,,Chile,CHL,SouthAmerica,Americas,"Central, South",1974,6,,1974,6,,32,,40000,,40000,10000
1974-0017-DZA,1974,17,Natural,Hydrological,Flood,,,Algeria,DZA,NorthernAfrica,Africa,"G. Kabylia, Tlemcem",1974,3,31,1974,3,31,11,,20000,,20000,30000
1974-0047-HND,1974,47,Natural,Meteorological,Storm,Tropical cyclone,Fifi,Honduras,HND,CentralAmerica,Americas,Widespread,1974,9,18,1974,9,21,8000,,600000,,600000,540000
1975-0039-BRA,1975,39,Natural,Meteorological,Extreme temperature ,Cold wave,,Brazil,BRA,SouthAmerica,Americas,Parana,1975,7,,1975,7,,70,600,,,600,600000
1975-0042-BRA,1975,42,Natural,Hydrological,Flood,,,Brazil,BRA,SouthAmerica,Americas,"Pernambuco, Recife (North East areas)",1975,7,18,1975,7,18,118,,748000,80000,828000,254900
1976-0133-BGD,1976,133,Natural,Meteorological,Storm,Convective storm,,Bangladesh,BGD,SouthernAsia,Asia,Dhamgarh (near Dacca),1976,5,9,1976,5,9,1,,,,,201
1976-0050-CHN,1976,50,Natural,Geophysical,Earthquake,Ground movement,,China,CHN,EasternAsia,Asia,"Tangshan, Pek.,Tientsin",1976,7,28,1976,7,28,242000,164000,,,164000,5600000
1976-0018-DFR,1976,18,Natural,Meteorological,Storm,,Capella,Germany Fed Rep,DFR,WesternEurope,Europe,,1976,1,2,1976,1,2,82,,,,,1300000
1976-0033-ECU,1976,33,Natural,Geophysical,Earthquake,Ground movement,,Ecuador,ECU,SouthAmerica,Americas,Esmeraldas,1976,4,9,1976,4,9,10,,,,,4000
1976-0068-ECU,1976,68,Natural,Geophysical,Earthquake,Ground movement,,Ecuador,ECU,SouthAmerica,Americas,Cotopaxi Pinchincha province,1976,10,4,1976,10,4,10,,,20000,20000,20000
1976-0024-GTM,1976,24,Natural,Geophysical,Earthquake,Ground movement,,Guatemala,GTM,CentralAmerica,Americas,"Guatemala city, Chimaltenango",1976,2,4,1976,2,4,23000,77000,3750000,1166000,4993000,1000000
1976-0035-GUM,1976,35,Natural,Meteorological,Storm,Tropical cyclone,Pamela,Guam,GUM,Micronesia,Oceania,,1976,5,,1976,5,,9,,,,,120000
1976-0043-IDN,1976,43,Natural,Geophysical,Earthquake,Ground movement,,Indonesia,IDN,South-EasternAsia,Asia,Wanena Region (Irian Jaya),1976,6,26,1976,6,26,420,,15000,,15000,25000
1976-0047-IDN,1976,47,Natural,Geophysical,Earthquake,Ground movement,,Indonesia,IDN,South-EasternAsia,Asia,Bali,1976,7,14,1976,7,14,573,4755,450000,,454755,195000
1976-0074-IND,1976,74,Natural,Meteorological,Storm,Tropical cyclone,,India,IND,SouthernAsia,Asia,Madras/Nellore (Andhra Pradesh),1976,11,22,1976,11,22,95,,300000,,300000,260000
1976-0143-IND,1976,143,Natural,Meteorological,Storm,Tropical cyclone,,India,IND,SouthernAsia,Asia,"Gujarat, Maharastra",1976,5,29,1976,5,29,87,,250000,,250000,3378
1976-0146-IND,1976,146,Natural,Meteorological,Storm,Tropical cyclone,,India,IND,SouthernAsia,Asia,Between Nellore and Kavali (Andhra Pradesh),1976,11,15,1976,11,15,30,,50000,,50000,3378
1977-0106-IDN,1977,106,Natural,Geophysical,Earthquake,Ground movement,,Indonesia,IDN,South-EasternAsia,Asia,"Sumbaya, Lombok, Sumba (Nusa Tengarra Is.)",1977,8,19,1977,8,19,185,75,3900,,3975,1200
1977-0137-ARG,1977,137,Natural,Geophysical,Earthquake,Ground movement,,Argentina,ARG,SouthAmerica,Americas,"Cardoba, Buenos Aires, Caucete, Bragado San Juan province",1977,11,23,1977,11,23,70,100,,40000,40100,80000
1977-0227-AUS,1977,227,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,Australia,AUS,AustraliaandNewZealand,Oceania,"Blue Mountains, New South Wales",1977,12,,1977,12,,3,,,,,2168
1977-0054-BGD,1977,54,Natural,Meteorological,Storm,,,Bangladesh,BGD,SouthernAsia,Asia,Madaripur,1977,4,1,1977,4,1,600,10000,,,10000,50000
1977-0036-BOL,1977,36,Natural,Hydrological,Flood,,,Bolivia (Plurinational State of),BOL,SouthAmerica,Americas,Santa Cruz department,1977,1,3,1977,1,3,10,,70000,20000,90000,10000
1977-0087-CHL,1977,87,Natural,Meteorological,Storm,,,Chile,CHL,SouthAmerica,Americas,Santiago area,1977,7,20,1977,7,20,15,,,16800,16800,6800
1977-0211-GBR,1977,211,Natural,Hydrological,Flood,Coastal flood,,United Kingdom of Great Britain and Northern Ireland (the),GBR,NorthernEurope,Europe,,1977,11,,1977,11,,6,,,,,1000
1977-0129-GRC,1977,129,Natural,Hydrological,Flood,,,Greece,GRC,SouthernEurope,Europe,"Piraeus city (Attikis district, Attiki province) ",1977,10,1,1977,11,30,27,,1600,,1600,28000
1977-0133-IND,1977,133,Natural,Meteorological,Storm,Tropical cyclone,,India,IND,SouthernAsia,Asia,"Tamil Nadu, Andhra Pradesh, Kerala",1977,11,12,1977,11,12,14204,,9037400,5432400,14469800,498535
1978-0083-AFG,1978,83,Natural,Hydrological,Flood,,,Afghanistan,AFG,SouthernAsia,Asia,"Central and Eastern regions, Pakistan border",1978,7,,1978,7,,120,140,264044,7500,271684,52000
1978-0049-AUS,1978,49,Natural,Meteorological,Storm,Tropical cyclone,Alby,Australia,AUS,AustraliaandNewZealand,Oceania,Western,1978,4,,1978,4,,5,,100,,100,1000000
1978-0062-DFR,1978,62,Natural,Hydrological,Flood,Riverine flood,,Germany Fed Rep,DFR,WesternEurope,Europe,South,1978,5,,1978,5,,2,,,,,330000
1978-0077-ESP,1978,77,Natural,Hydrological,Flood,Riverine flood,,Spain,ESP,SouthernEurope,Europe,Northern,1978,6,,1978,6,,2,,,,,25000
1978-0081-GRC,1978,81,Natural,Geophysical,Earthquake,Ground movement,,Greece,GRC,SouthernEurope,Europe,Thessaloniki area,1978,6,20,1978,6,20,50,100,600000,,600100,250000
1970-0032-PER,1970,32,Natural,Geophysical,Earthquake,Ground movement,,Peru,PER,SouthAmerica,Americas,"Chimbote, Pisco, Chiclayo",1970,5,31,1970,5,31,66794,143331,3072909,,3216240,530000
1970-0060-PNG,1970,60,Natural,Geophysical,Earthquake,Ground movement,,Papua New Guinea,PNG,Melanesia,Oceania,Madang,1970,11,1,1970,11,1,15,20,4000,,4020,1750
1970-0034-IND,1970,34,Natural,Hydrological,Flood,,,India,IND,SouthernAsia,Asia,"North-East, Western, North",1970,7,,1970,7,,627,1000,10000000,350000,10351000,101200
1970-0038-IRN,1970,38,Natural,Geophysical,Earthquake,Ground movement,,Iran (Islamic Republic of),IRN,SouthernAsia,Asia,"Karnaveh, Marev",1970,7,30,1970,7,30,176,,10000,,10000,8000
1970-0055-ITA,1970,55,Natural,Hydrological,Flood,Riverine flood,,Italy,ITA,SouthernEurope,Europe,Genoa provinces,1970,10,7,1970,10,7,37,,1300000,1650,1301650,268300
1970-0047-ITA,1970,47,Natural,Meteorological,Storm,Tropical cyclone,,Italy,ITA,SouthernEurope,Europe,Venice,1970,9,11,1970,9,11,35,,200,,200,3200
1970-0036-KOR,1970,36,Natural,Meteorological,Storm,,,Korea (the Republic of),KOR,EasternAsia,Asia,"East, South Esat coast",1970,7,3,1970,7,3,39,,2500,,2500,5100
1970-0001-MAR,1970,1,Natural,Hydrological,Flood,,,Morocco,MAR,NorthernAfrica,Africa,Northern regions,1970,1,22,1970,1,22,11,3,266441,,266444,30000
1970-0017-MDG,1970,17,Natural,Meteorological,Storm,Tropical cyclone,Jane,Madagascar,MDG,EasternAfrica,Africa,"Central, South",1970,2,23,1970,2,23,70,,10000,,10000,11400
1970-0041-MTQ,1970,41,Natural,Meteorological,Storm,Tropical cyclone,Dorothy,Martinique,MTQ,Caribbean,Americas,,1970,8,21,1970,8,21,45,,5000,,5000,31000
1970-0070-MYS,1970,70,Natural,Hydrological,Flood,,,Malaysia,MYS,South-EasternAsia,Asia,"West Malaysia, Capital",1970,12,26,1970,12,26,61,,243000,,243000,37000
1970-0022-PAN,1970,22,Natural,Hydrological,Flood,,,Panama,PAN,CentralAmerica,Americas,Chiriqui province,1970,4,8,1970,4,8,48,500,3500,,4000,15000
1970-0068-PER,1970,68,Natural,Geophysical,Earthquake,Ground movement,,Peru,PER,SouthAmerica,Americas,"Piura,Tumbes",1970,12,9,1970,12,9,29,252,15000,,15252,2000
1970-0002-PER,1970,2,Natural,Hydrological,Flood,,,Peru,PER,SouthAmerica,Americas,"(1) Lima, Sierra (2) Loreto department",1970,1,,1970,1,,3,50,131000,5000,136050,5200
1970-0043-PHL,1970,43,Natural,Meteorological,Storm,Tropical cyclone,Fran & Georgia,Philippines (the),PHL,South-EasternAsia,Asia,"(1) Bulacan, Pampg (Manila) - (2) Aurora (Quezon province)",1970,8,31,1970,8,31,137,,78000,67200,145200,2353
1970-0056-PHL,1970,56,Natural,Meteorological,Storm,Tropical cyclone,"Joan, Kate",Philippines (the),PHL,South-EasternAsia,Asia,"(1) Bicol area, (2) Mindanao",1970,10,13,1970,10,13,1551,985,1214000,,1214985,85500
1970-0064-PHL,1970,64,Natural,Meteorological,Storm,Tropical cyclone,Patsy,Philippines (the),PHL,South-EasternAsia,Asia,Manila (Quezon province),1970,11,19,1970,11,19,786,2075,430000,,432075,97656
1970-0078-PHL,1970,78,Natural,Meteorological,Storm,Tropical cyclone,Sening,Philippines (the),PHL,South-EasternAsia,Asia,,1970,9,12,1970,9,12,575,1593,,,1593,12110
1970-0079-PHL,1970,79,Natural,Meteorological,Storm,Tropical cyclone,Titang,Philippines (the),PHL,South-EasternAsia,Asia,,1970,9,16,1970,9,16,631,76,,,76,47397
1970-0080-PHL,1970,80,Natural,Meteorological,Storm,Tropical cyclone,Yoling,Philippines (the),PHL,South-EasternAsia,Asia,,1970,11,17,1970,11,17,80,248,17044,,17292,12785
1970-0029-ROU,1970,29,Natural,Hydrological,Flood,,,Romania,ROU,EasternEurope,Europe,East,1970,5,11,1970,5,11,215,,238755,,238755,500000
1970-0019-TUR,1970,19,Natural,Geophysical,Earthquake,Ground movement,,Turkey,TUR,WesternAsia,Asia,Gediz,1970,3,28,1970,3,28,1086,2776,80672,,83448,55600
1970-0030-USA,1970,30,Natural,Meteorological,Storm,Convective storm,,United States ofAmerica (the),USA,NorthernAmerica,Americas,Lubbock (Texas),1970,5,11,1970,5,11,26,,,,,147000
1970-0039-USA,1970,39,Natural,Meteorological,Storm,Tropical cyclone,Celia,United States ofAmerica (the),USA,NorthernAmerica,Americas,Texas,1970,8,3,1970,8,3,11,,,,,450000
1971-0037-IND,1971,37,Natural,Hydrological,Flood,,,India,IND,SouthernAsia,Asia,North,1971,6,,1971,6,,1023,,,,,530000
1971-0014-ITA,1971,14,Natural,Geophysical,Earthquake,Ground movement,,Italy,ITA,SouthernEurope,Europe,Toscana,1971,2,6,1971,2,6,22,100,4120,,4220,41600
1971-0048-LAO,1971,48,Natural,Hydrological,Flood,,,Lao People's Democratic Republic (the),LAO,South-EasternAsia,Asia,Vientiane,1971,8,17,1971,8,17,14,,100000,15000,115000,200
1971-0051-NIC,1971,51,Natural,Meteorological,Storm,Tropical cyclone,Edith,Nicaragua,NIC,CentralAmerica,Americas,Coco River Valley,1971,9,9,1971,9,9,35,50,2800,1800,4650,380
1971-0012-PER,1971,12,Natural,Hydrological,Flood,,,Peru,PER,SouthAmerica,Americas,,1971,2,,1971,2,,250,,330000,,330000,600
1971-0026-PHL,1971,26,Natural,Meteorological,Storm,Tropical cyclone,Wanda,Philippines (the),PHL,South-EasternAsia,Asia,"Visayas, Palawan",1971,4,22,1971,4,22,95,,,,,700
1971-0036-PHL,1971,36,Natural,Meteorological,Storm,Tropical cyclone,Dinah (Herming),Philippines (the),PHL,South-EasternAsia,Asia,Central,1971,5,24,1971,5,24,57,3,,32500,32503,590
1971-0034-TUR,1971,34,Natural,Geophysical,Earthquake,Ground movement,,Turkey,TUR,WesternAsia,Asia,"Bingol, Erzincan",1971,5,22,1971,5,22,878,1200,60000,27465,88665,5000
1971-0016-USA,1971,16,Natural,Geophysical,Earthquake,Ground movement,,United States ofAmerica (the),USA,NorthernAmerica,Americas,San Fernando (Los Angeles),1971,2,9,1971,2,9,65,2000,,,2000,553000
1972-0027-IRN,1972,27,Natural,Geophysical,Earthquake,Ground movement,,Iran (Islamic Republic of),IRN,SouthernAsia,Asia,"Qir, Karzin, Jahrom, Firuzabad (Southwest Iran)",1972,4,10,1972,4,10,5057,1332,22126,,23458,1000
1972-0049-KOR,1972,49,Natural,Hydrological,Flood,Riverine flood,,Korea (the Republic of),KOR,EasternAsia,Asia,"North, Central",1972,8,19,1972,8,19,672,785,800000,326000,1126785,72800
1972-0052-KOR,1972,52,Natural,Hydrological,Flood,,,Korea (the Republic of),KOR,EasternAsia,Asia,,1972,9,13,1972,9,13,75,54,1500,,1554,634
1972-0022-MDG,1972,22,Natural,Meteorological,Storm,Tropical cyclone,Eugenie,Madagascar,MDG,EasternAfrica,Africa,Central,1972,2,14,1972,2,14,91,56,2500000,10000,2510056,12420
1972-0067-NIC,1972,67,Natural,Geophysical,Earthquake,Ground movement,,Nicaragua,NIC,CentralAmerica,Americas,Managua,1972,12,23,1972,12,23,10000,20000,400000,300000,720000,845000
1972-0024-PER,1972,24,Natural,Geophysical,Earthquake,Ground movement,,Peru,PER,SouthAmerica,Americas,"Juanjui, Tarapoto",1972,3,20,1972,3,20,12,,1500000,75000,1575000,20000
1972-0015-PHL,1972,15,Natural,Meteorological,Storm,Tropical cyclone,Kit (Asiang),Philippines (the),PHL,South-EasternAsia,Asia,Visayan Islands,1972,1,6,1972,1,6,204,28,,,28,23000
1972-0040-PHL,1972,40,Natural,Meteorological,Storm,Tropical cyclone,Ora,Philippines (the),PHL,South-EasternAsia,Asia,South Luzon,1972,6,23,1972,6,23,131,,385000,,385000,15000
1972-0064-PHL,1972,64,Natural,Meteorological,Storm,Tropical cyclone,Therese (Undang),Philippines (the),PHL,South-EasternAsia,Asia,"South, Misamis province",1972,12,3,1972,12,3,100,650,80000,27000,107650,10000
1972-0042-PHL,1972,42,Natural,Hydrological,Flood,,,Philippines (the),PHL,South-EasternAsia,Asia,"Central, NorthLuzon",1972,7,,1972,7,,653,,2400000,370647,2770647,220000
1972-0035-USA,1972,35,Natural,Meteorological,Storm,Tropical cyclone,Agnes,United States ofAmerica (the),USA,NorthernAmerica,Americas,East,1972,6,18,1972,6,18,122,,,,,2100000
1973-0001-ITA,1973,1,Natural,Meteorological,Storm,,,Italy,ITA,SouthernEurope,Europe,South Sicily,1973,1,1,1973,1,1,24,,5000,,5000,360000
1973-0045-JAM,1973,45,Natural,Meteorological,Storm,Tropical cyclone,Gilda,Jamaica,JAM,Caribbean,Americas,"Entire Island, Kingston",1973,10,17,1973,10,17,6,10,2500,,2510,1700
1973-0034-MEX,1973,34,Natural,Hydrological,Flood,,,Mexico,MEX,CentralAmerica,Americas,Irapuato,1973,8,,1973,8,,100,,150000,,150000,100000
1973-0033-PAK,1973,33,Natural,Hydrological,Flood,,,Pakistan,PAK,SouthernAsia,Asia,"Punjab, Sind",1973,8,,1973,8,,474,,4800000,,4800000,661500
1973-0017-PHL,1973,17,Natural,Geophysical,Earthquake,Ground movement,,Philippines (the),PHL,South-EasternAsia,Asia,"Luzon, Tablas Is., Quezon city, Calaug, Lopez, Guiayangan",1973,3,17,1973,3,17,14,64,,,64,450
1973-0042-PHL,1973,42,Natural,Meteorological,Storm,Tropical cyclone,Nora (Luming),Philippines (the),PHL,South-EasternAsia,Asia,Northern Luzon,1973,10,4,1973,10,4,26,,,,,2000
1973-0044-PHL,1973,44,Natural,Meteorological,Storm,Tropical cyclone,Ruth,Philippines (the),PHL,South-EasternAsia,Asia,Central Luzon,1973,10,14,1973,10,14,50,,,45000,45000,5000
1973-0083-PHL,1973,83,Natural,Hydrological,Flood,,,Philippines (the),PHL,South-EasternAsia,Asia,Cotabato,1973,9,7,1973,9,7,3,,5000,,5000,493
1973-0080-TON,1973,80,Natural,Meteorological,Storm,Tropical cyclone,Juliette,Tonga,TON,Polynesia,Oceania,Ha'api Isl Group,1973,4,12,1973,4,12,3,,700,200,900,500
1973-0018-TUN,1973,18,Natural,Hydrological,Flood,,,Tunisia,TUN,NorthernAfrica,Africa,Medjerda river Valley,1973,3,21,1973,3,21,52,,41000,,41000,5000
1974-0063-PAK,1974,63,Natural,Geophysical,Earthquake,Ground movement,,Pakistan,PAK,SouthernAsia,Asia,"North Indus R. Valley, Balakot, Patan",1974,12,28,1974,12,28,4700,15000,30000,5200,50200,3255
1974-0050-PER,1974,50,Natural,Geophysical,Earthquake,Ground movement,,Peru,PER,SouthAmerica,Americas,"Lima area, Calleo",1974,10,4,1974,10,4,78,2414,41260,,43674,10000
1974-0037-JPN,1974,37,Natural,Meteorological,Storm,,,Japan,JPN,EasternAsia,Asia,,1974,7,11,1974,7,11,108,,,,,400000
1974-0022-PER,1974,22,Natural,Hydrological,Landslide,Landslide,,Peru,PER,SouthAmerica,Americas,Mayunmarca,1974,4,25,1974,4,25,310,,12000,1500,13500,21700
1974-0029-PHL,1974,29,Natural,Meteorological,Storm,Tropical cyclone,Dinah (Bising),Philippines (the),PHL,South-EasternAsia,Asia,Luzon,1974,6,8,1974,6,8,106,,1367,,1367,1000
1974-0038-PHL,1974,38,Natural,Meteorological,Storm,Tropical cyclone,Ivy (Iliang),Philippines (the),PHL,South-EasternAsia,Asia,Luzon,1974,7,17,1974,7,17,21,16,2400,140,2556,2000
1974-0051-PHL,1974,51,Natural,Meteorological,Storm,Tropical cyclone,Bess (Susang),Philippines (the),PHL,South-EasternAsia,Asia,North Luzon,1974,10,10,1974,10,10,26,40,7142,,7182,9200
1974-0052-PHL,1974,52,Natural,Meteorological,Storm,Tropical cyclone,Carmen (Tering),Philippines (the),PHL,South-EasternAsia,Asia,Luzon,1974,10,15,1974,10,15,13,9,7776,,7785,11600
1974-0054-PHL,1974,54,Natural,Meteorological,Storm,Tropical cyclone,Elaine (Wening),Philippines (the),PHL,South-EasternAsia,Asia,Luzon,1974,10,25,1974,10,25,23,50,55575,,55625,21000
1974-0056-PHL,1974,56,Natural,Meteorological,Storm,Tropical cyclone,Gloria (Aning),Philippines (the),PHL,South-EasternAsia,Asia,North Luzon,1974,11,4,1974,11,4,3,2,22835,1301,24138,3200
1974-0058-PHL,1974,58,Natural,Meteorological,Storm,Tropical cyclone,Irma (Bidang),Philippines (the),PHL,South-EasternAsia,Asia,South Luzon,1974,11,23,1974,11,23,11,,,5000,5000,7300
1974-0039-PHL,1974,39,Natural,Hydrological,Flood,,,Philippines (the),PHL,South-EasternAsia,Asia,Central Luzon,1974,8,,1974,8,,94,,1200000,,1200000,17800
1974-0044-TTO,1974,44,Natural,Meteorological,Storm,Tropical cyclone,Alma,Trinidad and Tobago,TTO,Caribbean,Americas,Central,1974,8,14,1974,8,14,2,,50000,,50000,5000
1974-0023-TZA,1974,23,Natural,Hydrological,Flood,,,"Tanzania, United Republic of",TZA,EasternAfrica,Africa,Ulanga district,1974,5,,1974,5,,25,,50000,18000,68000,3000
1974-0019-USA,1974,19,Natural,Meteorological,Storm,Convective storm,,United States ofAmerica (the),USA,NorthernAmerica,Americas,Central,1974,4,2,1974,4,5,322,,,,,1000000
1975-0037-IND,1975,37,Natural,Hydrological,Flood,,,India,IND,SouthernAsia,Asia,"Northwest, Bihar",1975,7,,1975,7,,350,,27000000,7000000,34000000,714259
1975-0045-IND,1975,45,Natural,Meteorological,Storm,,,India,IND,SouthernAsia,Asia,Eastern,1975,8,,1975,8,,450,,,,,200000
1975-0049-JPN,1975,49,Natural,Meteorological,Storm,Tropical cyclone,Phyllis,Japan,JPN,EasternAsia,Asia,"Northern, Shikoku",1975,8,15,1975,8,15,68,52,123,,175,505000
1975-0018-MUS,1975,18,Natural,Meteorological,Storm,Tropical cyclone,Gervaise,Mauritius,MUS,EasternAfrica,Africa,Entire island,1975,2,6,1975,2,6,9,59,826199,,826258,200000
1975-0077-PHL,1975,77,Natural,Meteorological,Storm,Tropical cyclone,Lola (Auring),Philippines (the),PHL,South-EasternAsia,Asia,Mindanao,1975,1,22,1975,1,22,39,8,4518,698,5224,2161
1975-0035-ROU,1975,35,Natural,Hydrological,Flood,,,Romania,ROU,EasternEurope,Europe,"South, North-East, along Danube",1975,7,,1975,7,,60,,1000000,,1000000,50000
1975-0034-SLE,1975,34,Natural,Meteorological,Storm,,,Sierra Leone,SLE,WesternAfrica,Africa,Atlantic coast,1975,6,21,1975,6,21,1,,10000,,10000,3600
1975-0012-THA,1975,12,Natural,Hydrological,Flood,,,Thailand,THA,South-EasternAsia,Asia,South,1975,1,3,1975,1,3,239,93,3000000,,3000093,45000
1975-0053-TUR,1975,53,Natural,Geophysical,Earthquake,Ground movement,,Turkey,TUR,WesternAsia,Asia,"Hazro, Hani, Kulp,Lice",1975,9,6,1975,9,6,2385,3372,50000,,53372,17000
1975-0055-USA,1975,55,Natural,Meteorological,Storm,Tropical cyclone,Eloise,United States ofAmerica (the),USA,NorthernAmerica,Americas,Florida,1975,9,16,1975,9,16,21,,,,,550000
1976-0054-PHL,1976,54,Natural,Geophysical,Earthquake,Ground movement,,Philippines (the),PHL,South-EasternAsia,Asia,"Gulf of Moro, Sulu (Mindanao)",1976,8,17,1976,8,17,6000,6348,175000,,181348,134000
