disasterNo,year,seq,group,subgroup_id,type_id,subtype,eventName,country,iso,region_id,continent_id,location,startYear,startMonth,startDay,endYear,endMonth,endDay,totalDeaths,injured,Affected,homeless,totalAffected,damageCost
2000-0107-MDG,2000,107,Natural,Meteorological,Storm,Tropical cyclone,"Eline, Gloria",Madagascar,MDG,EasternAfrica,Africa,"Marolambo, Antanambao Manampontsy, Mahanoro, Vatomandry, Brickaville districts (Atsinanana province), Ambositra district (Amoron I Mania province), Antananarivo Avaradrano, Andramasina, Manjakandriana districts (Analamanga province), Ambatolampy, Antsirabe II, Antanifotsy districts (Vakinankaratra province), Antalaha, Sambava, Andapa, Vohemar districts (Sava province), Morondava, Belo Sur Tsiribihina, Mahabo districts (Menabe province), Morombe district (Atsimo Andrefana province), Maroantsetra district (Analanjirofo province)",2000,2,17,2000,3,11,130,,736937,,736937,9000
2000-0163-CHN,2000,163,Natural,Meteorological,Storm,,,China,CHN,EasternAsia,Asia,Ili Kazakh district (Xinjiang Uygur Zizhiqu province),2000,1,10,2000,1,10,9,4,18000,,18004,3100
2000-0270-CHN,2000,270,Natural,Meteorological,Storm,,,China,CHN,EasternAsia,Asia,"Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Hainan Sheng provinces",2000,5,1,2000,5,1,15,,,4500,4500,5000
2000-0532-CHN,2000,532,Natural,Meteorological,Storm,,,China,CHN,EasternAsia,Asia,"Nanzheng Xian, Liuba Xian areas (Hanzhong district, Shaanxi Sheng province)",2000,8,,2000,8,,10,30,,,30,13288
2000-0699-ESP,2000,699,Natural,Hydrological,Flood,Flash flood,,Spain,ESP,SouthernEurope,Europe,"Amposta city (Tarragona district, Cataluña/Catalunya province) ; Zaragoza, Teruel districts (Aragón province), Albacete district (Castilla-La Mancha province) ; Aragón, Región de Murcia, Comunitat Valenciana, Cataluña/Catalunya provinces",2000,10,20,2000,10,26,8,,500,,500,75000
2000-0379-GRC,2000,379,Natural,Meteorological,Extreme temperature ,Heat wave,,Greece,GRC,SouthernEurope,Europe,"Anatoliki Makedonia Kai Thraki, Attiki, Dytiki Ellada, Dytiki Makedonia, Ionioi Nisoi, Ipeiros, Kentriki Makedonia, Kriti, Peloponnisos, Sterea Ellada, Thessalia, Voreio Aigaio, Notio Aigaio provinces",2000,7,,2000,7,,27,176,,,176,3000
2000-0324-HRV,2000,324,Natural,Meteorological,Extreme temperature ,Heat wave,,Croatia,HRV,SouthernEurope,Europe,"Zagreb city (Zagreb province), Split city (Split-dalmatija province), Osijek city (Osijek-baranja province), Rijeka city (Primorje-gorski Kota province)",2000,6,,2000,6,,40,200,,,200,240000
2000-0528-HRV,2000,528,Natural,Climatological,Wildfire,Forest fire,,Croatia,HRV,SouthernEurope,Europe,"Split, Omis cities (Split-dalmatija province), Slano, Metkovic cities (Dubrovnik-neretva province)",2000,8,,2000,8,,1,,,,,17750
2000-0191-HUN,2000,191,Natural,Hydrological,Flood,Riverine flood,,Hungary,HUN,EasternEurope,Europe,"Borsod-Abauj-Zemplen, Szabolcs-Szatmar-Bereg province, Szolnok city (Jasz-nagykun-Szolnok province)",2000,4,6,2000,5,1,1,,2000,,2000,55000
2000-0258-IDN,2000,258,Natural,Hydrological,Flood,Flash flood,,Indonesia,IDN,South-EasternAsia,Asia,"Malaka Tengah, Malaka Barat areas (Belu district, Nusatenggara Timur province)",2000,5,16,2000,5,24,126,,50000,,50000,79000
2000-0770-IDN,2000,770,Natural,Hydrological,Flood,Riverine flood,,Indonesia,IDN,South-EasternAsia,Asia,"Aceh Besar, Aceh Utara districts (Nangroe Aceh Darussalam province), Pesisir Selatan, Tanahdatar, Solok districts (Sumatera Barat province) Dairi, Deli Serdang districts (Sumatera Utara province), Riau, Jambi provinces",2000,11,28,2000,12,4,100,21,386000,,386021,34000
